timestamp,batch_id,time_min,moisture_raw,red,green,blue,moisture_status,color_status,final_status,readiness_score
2026-05-11 05:22:51,BATCH_001,1120,516,9797,9802,9783,PASS,PASS,PASS,100
2026-05-11 05:23:03,BATCH_001,1125,516,9782,9796,9772,PASS,PASS,PASS,100
2026-05-11 05:23:16,BATCH_001,1130,516,9797,9785,9791,PASS,PASS,PASS,100
2026-05-11 05:23:28,BATCH_001,1135,516,9775,9786,9799,PASS,PASS,PASS,100
2026-05-11 05:23:39,BATCH_001,1140,516,9772,9789,9793,PASS,PASS,PASS,100
2026-05-11 05:23:51,BATCH_001,1145,516,9800,9772,9805,PASS,PASS,PASS,100
2026-05-11 05:24:03,BATCH_001,1150,516,9756,9692,9702,PASS,PASS,PASS,100
2026-05-11 05:24:15,BATCH_001,1155,516,9735,9741,9754,PASS,PASS,PASS,100
2026-05-11 05:24:27,BATCH_001,1160,516,9743,9717,9735,PASS,PASS,PASS,100
2026-05-11 05:24:38,BATCH_001,1165,516,9712,9689,9707,PASS,PASS,PASS,100
2026-05-11 05:24:50,BATCH_001,1170,516,9724,9764,9742,PASS,PASS,PASS,100
2026-05-11 05:25:01,BATCH_001,1175,516,9741,9757,9733,PASS,PASS,PASS,100
2026-05-11 05:25:13,BATCH_001,1180,516,9746,9724,9737,PASS,PASS,PASS,100
2026-05-11 05:25:24,BATCH_001,1185,516,9707,9709,9687,PASS,PASS,PASS,100
2026-05-11 05:25:36,BATCH_001,1190,516,9711,9711,9704,PASS,PASS,PASS,100
2026-05-11 05:25:48,BATCH_001,1195,516,9737,9731,9703,PASS,PASS,PASS,100
2026-05-11 05:25:59,BATCH_001,1200,516,9690,9672,9689,PASS,PASS,PASS,100
2026-05-11 05:26:11,BATCH_001,1205,516,9705,9701,9689,PASS,PASS,PASS,100
2026-05-11 05:26:23,BATCH_001,1210,516,9678,9693,9701,PASS,PASS,PASS,100
2026-05-11 05:26:34,BATCH_001,1215,516,9680,9686,9709,PASS,PASS,PASS,100
2026-05-11 05:26:46,BATCH_001,1220,516,9755,9688,9716,PASS,PASS,PASS,100
2026-05-11 05:26:57,BATCH_001,1225,516,9680,9696,9687,PASS,PASS,PASS,100
2026-05-11 05:27:09,BATCH_001,1230,516,9694,9702,9679,PASS,PASS,PASS,100
2026-05-11 05:27:20,BATCH_001,1235,515,9646,9663,9673,PASS,PASS,PASS,100
2026-05-11 05:27:32,BATCH_001,1240,516,9684,9657,9683,PASS,PASS,PASS,100
2026-05-11 05:27:44,BATCH_001,1245,516,9680,9664,9688,PASS,PASS,PASS,100
2026-05-11 05:27:55,BATCH_001,1250,516,9712,9712,9695,PASS,PASS,PASS,100
2026-05-11 05:28:07,BATCH_001,1255,516,9608,9630,9622,PASS,PASS,PASS,100
2026-05-11 05:28:14,BATCH_001,1260,515,9551,9584,9594,PASS,PASS,PASS,100
2026-05-11 05:28:25,BATCH_001,1265,515,9620,9613,9609,PASS,PASS,PASS,100
2026-05-11 05:28:38,BATCH_001,1270,516,9601,9580,9543,PASS,PASS,PASS,100
2026-05-11 05:28:52,BATCH_001,1275,515,9573,9588,9560,PASS,PASS,PASS,100
2026-05-11 05:29:05,BATCH_001,1280,516,9553,9569,9565,PASS,PASS,PASS,100
2026-05-11 05:29:18,BATCH_001,1285,515,9549,9575,9569,PASS,PASS,PASS,100
2026-05-11 05:29:32,BATCH_001,1290,516,9553,9538,9541,PASS,PASS,PASS,100
2026-05-11 05:29:45,BATCH_001,1295,515,9547,9564,9568,PASS,PASS,PASS,100
2026-05-11 05:29:59,BATCH_001,1300,515,9589,9554,9546,PASS,PASS,PASS,100
2026-05-11 05:30:12,BATCH_001,1305,515,9569,9577,9573,PASS,PASS,PASS,100
2026-05-11 05:30:25,BATCH_001,1310,516,9596,9571,9637,PASS,PASS,PASS,100
2026-05-11 05:30:39,BATCH_001,1315,515,9544,9583,9548,PASS,PASS,PASS,100
2026-05-11 05:30:52,BATCH_001,1320,516,9534,9560,9597,PASS,PASS,PASS,100
2026-05-11 05:31:06,BATCH_001,1325,516,9586,9567,9557,PASS,PASS,PASS,100
2026-05-11 05:31:19,BATCH_001,1330,515,9602,9570,9569,PASS,PASS,PASS,100
2026-05-11 05:31:33,BATCH_001,1335,515,9544,9536,9519,PASS,PASS,PASS,100
2026-05-11 05:31:46,BATCH_001,1340,516,9564,9519,9533,PASS,PASS,PASS,100
2026-05-11 05:32:00,BATCH_001,1345,516,9534,9504,9488,PASS,PASS,PASS,100
2026-05-11 05:32:13,BATCH_001,1350,516,9513,9479,9471,PASS,PASS,PASS,100
